,Sno,MovieName,Director1,Director2,Director3,Duration,Year,Ratings,Metascore
145,146,Captain America: The Winter Soldier,Anthony Russo,Joe Russo,,136,2014,7.8,70
146,147,The Fugitive,Andrew Davis,,,130,1993,7.8,87
147,148,Captain Phillips,Paul Greengrass,,,134,2013,7.8,82
148,149,The Last Samurai,Edward Zwick,,,154,2003,7.8,55
149,150,Big Hero 6,Don Hall,Chris Williams,,102,2014,7.8,74
150,151,I Saw the Devil,Jee-woon Kim,,,144,2010,7.8,67
151,152,Serenity,Joss Whedon,,,119,2005,7.8,74
152,153,The Fighter,David O. Russell,,,116,2010,7.8,79
153,154,Thirteen Lives,Ron Howard,,,147,2022,7.8,66
154,155,How to Train Your Dragon 2,Dean DeBlois,,,102,2014,7.8,77
155,156,The Chaser,Na Hong-jin,,,125,2008,7.8,64
156,157,Ninja Scroll,Yoshiaki Kawajiri,,,94,1993,7.8,
157,158,Batman: Mask of the Phantasm,Eric Radomski,Kevin Altieri,Boyd Kirkland,76,1993,7.8,65
158,159,"Aguirre, the Wrath of God",Werner Herzog,,,95,1972,7.8,
159,160,Cowboy Bebop: The Movie,Shin'ichirô Watanabe,Tensai Okamura,Hiroyuki Okiura,115,2001,7.8,61
160,161,The Killer,John Woo,,,111,1989,7.8,82
161,162,Knockin' on Heaven's Door,Thomas Jahn,,,87,1997,7.8,
162,163,Minnal Murali,Basil Joseph,,,158,2021,7.8,
163,164,Avatar: The Way of Water,James Cameron,,,192,2022,7.7,67
164,165,Kingsman: The Secret Service,Matthew Vaughn,,,129,2014,7.7,60
165,166,Black Hawk Down,Ridley Scott,,,144,2001,7.7,74
166,167,Mission: Impossible - Fallout,Christopher McQuarrie,,,147,2018,7.7,86
167,168,The Dirty Dozen,Robert Aldrich,,,150,1967,7.7,73
168,169,The Count of Monte Cristo,Kevin Reynolds,,,131,2002,7.7,61
169,170,3:10 to Yuma,James Mangold,,,122,2007,7.7,76
170,171,The Lego Movie,Phil Lord,Christopher Miller,,100,2014,7.7,83
171,172,Star Trek Into Darkness,J.J. Abrams,,,132,2013,7.7,72
172,173,The Last of the Mohicans,Michael Mann,,,112,1992,7.7,76
173,174,Training Day,Antoine Fuqua,,,122,2001,7.7,69
174,175,Man on Fire,Tony Scott,,,146,2004,7.7,47
175,176,X-Men: First Class,Matthew Vaughn,,,131,2011,7.7,65
176,177,The Longest Day,Ken Annakin,Andrew Marton,Gerd Oswald,178,1962,7.7,75
177,178,The Bourne Supremacy,Paul Greengrass,,,108,2004,7.7,73
178,179,The Magnificent Seven,John Sturges,,,128,1960,7.7,74
179,180,First Blood,Ted Kotcheff,,,93,1982,7.7,61
180,181,Kung Fu Hustle,Stephen Chow,,,99,2004,7.7,78
181,182,The Boondock Saints,Troy Duffy,,,108,1999,7.7,44
182,183,Dirty Harry,Don Siegel,Clint Eastwood,,102,1971,7.7,87
183,184,Goldfinger,Guy Hamilton,,,110,1964,7.7,87
184,185,Star Trek II: The Wrath of Khan,Nicholas Meyer,,,113,1982,7.7,68
185,186,Bonnie and Clyde,Arthur Penn,,,111,1967,7.7,86
186,187,The French Connection,William Friedkin,,,104,1971,7.7,94
187,188,Run Lola Run,Tom Tykwer,,,80,1998,7.7,77
188,189,The Man from Nowhere,Jeong-beom Lee,,,119,2010,7.7,
189,190,Kubo and the Two Strings,Travis Knight,,,101,2016,7.7,84
190,191,Badlands,Terrence Malick,,,94,1973,7.7,93
191,192,Ponniyin Selvan: Part I,Mani Ratnam,,,167,2022,7.7,
192,193,Key Largo,John Huston,,,100,1948,7.7,
193,194,Scarface,Howard Hawks,Richard Rosson,,93,1932,7.7,90
194,195,Hard Boiled,John Woo,,,128,1992,7.7,
195,196,Joint Security Area,Park Chan-wook,,,110,2000,7.7,58
196,197,Dragon Ball Super: Broly,Tatsuya Nagamine,,,100,2018,7.7,59
197,198,Eega,S.S. Rajamouli,,,145,2012,7.7,
198,199,Udta Punjab,Abhishek Chaubey,,,148,2016,7.7,
199,200,Raazi,Meghna Gulzar,,,138,2018,7.7,
200,201,Guardians of the Galaxy Vol. 2,James Gunn,,,136,2017,7.6,67
201,202,Deadpool 2,David Leitch,,,119,2018,7.6,66
202,203,The Fifth Element,Luc Besson,,,126,1997,7.6,52
203,204,Sicario,Denis Villeneuve,,,121,2015,7.6,82
204,205,300,Zack Snyder,,,117,2006,7.6,52
205,206,Harry Potter and the Half-Blood Prince,David Yates,,,153,2009,7.6,78
206,207,Star Wars: Episode III - Revenge of the Sith,George Lucas,,,140,2005,7.6,68
207,208,Baby Driver,Edgar Wright,,,113,2017,7.6,86
208,209,Watchmen,Zack Snyder,,,162,2009,7.6,56
209,210,Incredibles 2,Brad Bird,,,118,2018,7.6,80
210,211,Where Eagles Dare,Brian G. Hutton,,,158,1968,7.6,63
211,212,RoboCop,Paul Verhoeven,,,102,1987,7.6,70
212,213,Train to Busan,Sang-ho Yeon,,,118,2016,7.6,73
213,214,Zombieland,Ruben Fleischer,,,88,2009,7.6,73
214,215,Kung Fu Panda,Mark Osborne,John Stevenson,,92,2008,7.6,74
215,216,Creed,Ryan Coogler,,,133,2015,7.6,82
216,217,The Road Warrior,George Miller,,,96,1981,7.6,77
217,218,Kick-Ass,Matthew Vaughn,,,117,2010,7.6,66
218,219,Falling Down,Joel Schumacher,,,113,1993,7.6,56
219,220,Minority Report,Steven Spielberg,,,145,2002,7.6,80
220,221,Sherlock Holmes,Guy Ritchie,,,128,2009,7.6,57
221,222,Lethal Weapon,Richard Donner,,,109,1987,7.6,68
222,223,Rise of the Planet of the Apes,Rupert Wyatt,,,105,2011,7.6,68
223,224,Battle Royale,Kinji Fukasaku,,,114,2000,7.6,81
224,225,Dawn of the Planet of the Apes,Matt Reeves,,,130,2014,7.6,79
225,226,The Raid: Redemption,Gareth Evans,,,101,2011,7.6,73
226,227,End of Watch,David Ayer,,,109,2012,7.6,68
227,228,Enter the Dragon,Robert Clouse,,,102,1973,7.6,83
228,229,Die Hard with a Vengeance,John McTiernan,,,128,1995,7.6,58
229,230,Hotel Mumbai,Anthony Maras,,,123,2018,7.6,62
230,231,Only the Brave,Joseph Kosinski,,,134,2017,7.6,72
231,232,Escape from Alcatraz,Don Siegel,,,112,1979,7.6,76
232,233,Star Trek: First Contact,Jonathan Frakes,,,111,1996,7.6,71
233,234,United 93,Paul Greengrass,,,111,2006,7.6,90
234,235,The Taking of Pelham One Two Three,Joseph Sargent,,,104,1974,7.6,68
235,236,Vampire Hunter D: Bloodlust,Jack Fletcher,Yoshiaki Kawajiri,,103,2000,7.6,62
236,237,Fearless,Ronny Yu,,,104,2006,7.6,70
237,238,Pushpa: The Rise - Part 1,Sukumar,,,179,2021,7.6,
238,239,Ludo,Anurag Basu,,,149,2020,7.6,
239,240,Cell 211,Daniel Monzón,,,113,2009,7.6,
240,241,Evangelion: 1.0 You Are (Not) Alone,Masayuki,Kazuya Tsurumaki,Hideaki Anno,98,2007,7.6,66
241,242,Lupin III: The Castle of Cagliostro,Hayao Miyazaki,,,102,1979,7.6,72
242,243,The Boy and the Beast,Mamoru Hosoda,,,119,2015,7.6,65
243,244,Mortal World,Ali Atay,,,107,2018,7.6,
244,245,The Covenant,Guy Ritchie,,,123,2023,7.5,63
245,246,Indiana Jones and the Temple of Doom,Steven Spielberg,,,118,1984,7.5,57
246,247,Batman,Tim Burton,,,126,1989,7.5,69
247,248,Harry Potter and the Order of the Phoenix,David Yates,,,138,2007,7.5,71
248,249,Scott Pilgrim vs. the World,Edgar Wright,,,112,2010,7.5,69
249,250,Fury,David Ayer,,,134,2014,7.5,64
250,251,Lone Survivor,Peter Berg,,,121,2013,7.5,60
251,252,The Hunger Games: Catching Fire,Francis Lawrence,,,146,2013,7.5,76
252,253,Total Recall,Paul Verhoeven,,,113,1990,7.5,60
253,254,The Warriors,Walter Hill,,,93,1979,7.5,65
254,255,Master and Commander: The Far Side of the World,Peter Weir,,,138,2003,7.5,81
255,256,Doctor Strange,Scott Derrickson,,,115,2016,7.5,72
256,257,The Crow,Alex Proyas,,,102,1994,7.5,71
257,258,Upgrade,Leigh Whannell,,,100,2018,7.5,67
258,259,It's a Mad Mad Mad Mad World,Stanley Kramer,,,210,1963,7.5,59
259,260,Collateral,Michael Mann,,,120,2004,7.5,71
260,261,The Hunt for Red October,John McTiernan,,,135,1990,7.5,58
261,262,Source Code,Duncan Jones,,,93,2011,7.5,74
262,263,Munich,Steven Spielberg,,,164,2005,7.5,74
263,264,Enemy at the Gates,Jean-Jacques Annaud,,,131,2001,7.5,53
264,265,Riders of Justice,Anders Thomas Jensen,,,116,2020,7.5,81
265,266,Grindhouse,Robert Rodriguez,Eli Roth,Quentin Tarantino,191,2007,7.5,77
266,267,Tora! Tora! Tora!,Richard Fleischer,Kinji Fukasaku,Toshio Masuda,144,1970,7.5,46
267,268,Midnight Run,Martin Brest,,,126,1988,7.5,78
268,269,The Guns of Navarone,J. Lee Thompson,,,158,1961,7.5,72
269,270,Headhunters,Morten Tyldum,,,100,2011,7.5,72
270,271,Police Story,Jackie Chan,Chi-Hwa Chen,,100,1985,7.5,78
271,272,13 Assassins,Takashi Miike,,,141,2010,7.5,84
272,273,Ip Man 2,Wilson Yip,,,108,2010,7.5,67
273,274,House of Flying Daggers,Yimou Zhang,,,119,2004,7.5,89
274,275,New World,Park Hoon-jung,,,135,2013,7.5,58
275,276,A Bittersweet Life,Jee-woon Kim,,,119,2005,7.5,
276,277,The Legend of Drunken Master,Chia-Liang Liu,Jackie Chan,,102,1994,7.5,74
277,278,The Blind Swordsman: Zatoichi,Takeshi Kitano,,,116,2003,7.5,75
278,279,Delhi Belly,Abhinay Deo,Akshat Verma,,103,2011,7.5,66
279,280,Tanhaji: The Unsung Warrior,Om Raut,,,135,2020,7.5,
280,281,Mesrine: Killer Instinct,Jean-François Richet,,,113,2008,7.5,71
281,282,Jodhaa Akbar,Ashutosh Gowariker,,,213,2008,7.5,69
282,283,Mersal,Atlee,,,172,2017,7.5,
283,284,To Strike,Bilal Lashari,,,130,2013,7.5,
284,285,John Wick,Chad Stahelski,David Leitch,,101,2014,7.4,68
285,286,John Wick: Chapter 3 - Parabellum,Chad Stahelski,,,130,2019,7.4,73
286,287,John Wick: Chapter 2,Chad Stahelski,,,122,2017,7.4,75
287,288,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,,,132,2021,7.4,71
288,289,Nobody,Ilya Naishuller,,,92,2021,7.4,64
289,290,Spider-Man: Homecoming,Jon Watts,,,133,2017,7.4,73
290,291,Spider-Man,Sam Raimi,,,121,2002,7.4,73
291,292,Ready Player One,Steven Spielberg,,,140,2018,7.4,64
292,293,Predestination,Michael Spierig,Peter Spierig,,97,2014,7.4,69
293,294,Mission: Impossible - Rogue Nation,Christopher McQuarrie,,,131,2015,7.4,75
294,295,Spider-Man: Far from Home,Jon Watts,,,129,2019,7.4,69
295,296,Mission: Impossible - Ghost Protocol,Brad Bird,,,132,2011,7.4,73
296,297,The Last Duel,Ridley Scott,,,152,2021,7.4,67
297,298,Spider-Man 2,Sam Raimi,,,127,2004,7.4,83
298,299,Wonder Woman,Patty Jenkins,,,141,2017,7.4,76
299,300,Superman,Richard Donner,,,143,1978,7.4,82
300,301,The Rock,Michael Bay,,,136,1996,7.4,58
301,302,Looper,Rian Johnson,,,119,2012,7.4,84
302,303,X2: X-Men United,Bryan Singer,,,134,2003,7.4,68
303,304,Law Abiding Citizen,F. Gary Gray,,,109,2009,7.4,34
304,305,War for the Planet of the Apes,Matt Reeves,,,140,2017,7.4,82
305,306,How to Train Your Dragon: The Hidden World,Dean DeBlois,,,104,2019,7.4,71
306,307,A History of Violence,David Cronenberg,,,96,2005,7.4,82
307,308,Open Range,Kevin Costner,,,139,2003,7.4,67
308,309,Sherlock Holmes: A Game of Shadows,Guy Ritchie,,,129,2011,7.4,48
309,310,Bullitt,Peter Yates,,,114,1968,7.4,81
310,311,Thief,Michael Mann,,,123,1981,7.4,78
311,312,Black Dynamite,Scott Sanders,,,84,2009,7.4,65
312,313,Rurouni Kenshin Part I: Origins,Keishi Otomo,,,134,2012,7.4,
313,314,Mission Majnu,Shantanu Bagchi,,,129,2023,7.4,
314,315,Drunken Master,Woo-Ping Yuen,,,111,1978,7.4,68
315,316,Summer Wars,Mamoru Hosoda,,,114,2009,7.4,63
316,317,Mesrine: Public Enemy No. 1,Jean-François Richet,,,133,2008,7.4,72
317,318,Dungeons & Dragons: Honor Among Thieves,John Francis Daley,Jonathan Goldstein,,134,2023,7.3,72
318,319,Bullet Train,David Leitch,,,127,2022,7.3,49
319,320,No Time to Die,Cary Joji Fukunaga,,,163,2021,7.3,68
320,321,Fast Five,Justin Lin,,,130,2011,7.3,66
321,322,Tenet,Christopher Nolan,,,150,2020,7.3,69
322,323,The Karate Kid,John G. Avildsen,,,126,1984,7.3,60
323,324,True Lies,James Cameron,,,141,1994,7.3,63
324,325,Starship Troopers,Paul Verhoeven,,,129,1997,7.3,52
325,326,Men in Black,Barry Sonnenfeld,,,98,1997,7.3,71
326,327,Ant-Man,Peyton Reed,,,117,2015,7.3,64
327,328,The Accountant,Gavin O'Connor,,,128,2016,7.3,51
328,329,The Nice Guys,Shane Black,,,116,2016,7.3,70
329,330,Black Panther,Ryan Coogler,,,134,2018,7.3,88
330,331,Avengers: Age of Ultron,Joss Whedon,,,141,2015,7.3,66
331,332,X-Men,Bryan Singer,,,104,2000,7.3,64
332,333,Dawn of the Dead,Zack Snyder,,,101,2004,7.3,59
333,334,Speed,Jan de Bont,,,116,1994,7.3,78
334,335,American Sniper,Clint Eastwood,,,133,2014,7.3,72
335,336,Face/Off,John Woo,,,138,1997,7.3,82
336,337,Alita: Battle Angel,Robert Rodriguez,,,122,2019,7.3,53
337,338,13 Hours,Michael Bay,,,144,2016,7.3,48
338,339,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,,,151,2006,7.3,53
339,340,Beverly Hills Cop,Martin Brest,,,105,1984,7.3,66
340,341,El Camino: A Breaking Bad Movie,Vince Gilligan,,,122,2019,7.3,72
341,342,Raya and the Last Dragon,Don Hall,Carlos López Estrada,Paul Briggs,107,2021,7.3,74
342,343,Patriots Day,Peter Berg,,,133,2016,7.3,69
343,344,Eye in the Sky,Gavin Hood,,,102,2015,7.3,73
344,345,The Lego Batman Movie,Chris McKay,,,104,2017,7.3,75
345,346,Enemy of the State,Tony Scott,,,132,1998,7.3,67
346,347,Okja,Bong Joon Ho,,,120,2017,7.3,75
347,348,Equilibrium,Kurt Wimmer,,,107,2002,7.3,33
348,349,Southpaw,Antoine Fuqua,,,124,2015,7.3,57
349,350,Megamind,Tom McGrath,,,95,2010,7.3,63
350,351,Layer Cake,Matthew Vaughn,,,105,2004,7.3,73
351,352,The Adventures of Tintin,Steven Spielberg,,,107,2011,7.3,68
352,353,The Next Three Days,Paul Haggis,,,133,2010,7.3,52
353,354,Grosse Pointe Blank,George Armitage,,,107,1997,7.3,76
354,355,Star Trek IV: The Voyage Home,Leonard Nimoy,,,119,1986,7.3,71
