,Sno,MovieName,Director1,Director2,Director3,Duration,Genre1,Genre2,Genre3,Ratings
1359,"1,360",Tiger Lives,Mehmet Tutkun,Ali Abbas Zafar,Musa Muhammed Olayinka,161,Action,Adventure,Thriller,5.9
1360,"1,361",Ghosted,Dexter Fletcher,,,116,Action,Adventure,Comedy,5.8
1361,"1,362",Mulan,Niki Caro,,,115,Action,Adventure,Drama,5.8
1362,"1,363",The School for Good and Evil,Paul Feig,,,147,Action,Comedy,Drama,5.8
1363,"1,364",Oldboy,Spike Lee,,,104,Action,Drama,Mystery,5.8
1364,"1,365",Teenage Mutant Ninja Turtles,Jonathan Liebesman,,,101,Action,Adventure,Comedy,5.8
1365,"1,366",Army of the Dead,Zack Snyder,,,148,Action,Crime,Drama,5.8
1366,"1,367",Battleship,Peter Berg,,,131,Action,Adventure,Sci-Fi,5.8
1367,"1,368",Noah,Darren Aronofsky,,,138,Action,Adventure,Drama,5.8
1368,"1,369",2012,Roland Emmerich,,,158,Action,Adventure,Sci-Fi,5.8
1369,"1,370",Clash of the Titans,Louis Leterrier,,,106,Action,Adventure,Fantasy,5.8
1370,"1,371",Mortal Kombat,Paul W.S. Anderson,,,101,Action,Adventure,Fantasy,5.8
1371,"1,372",Species,Roger Donaldson,,,108,Action,Horror,Sci-Fi,5.8
1372,"1,373",The Man from Toronto,Patrick Hughes,,,110,Action,Adventure,Comedy,5.8
1373,"1,374",The League of Extraordinary Gentlemen,Stephen Norrington,,,110,Action,Adventure,Fantasy,5.8
1374,"1,375",xXx,Rob Cohen,,,124,Action,Adventure,Thriller,5.8
1375,"1,376",End of Days,Peter Hyams,,,122,Action,Fantasy,Horror,5.8
1376,"1,377",Cobra,George P. Cosmatos,,,87,Action,Crime,Thriller,5.8
1377,"1,378",Troll,Roar Uthaug,,,101,Action,Adventure,Drama,5.8
1378,"1,379",Blade: Trinity,David S. Goyer,,,113,Action,Horror,Sci-Fi,5.8
1379,"1,380",Hollow Man,Paul Verhoeven,,,112,Action,Horror,Sci-Fi,5.8
1380,"1,381",Journey to the Center of the Earth,Eric Brevig,,,93,Action,Adventure,Family,5.8
1381,"1,382",Over the Top,Menahem Golan,,,93,Action,Drama,Sport,5.8
1382,"1,383",RoboCop 2,Irvin Kershner,,,117,Action,Crime,Sci-Fi,5.8
1383,"1,384",Without Remorse,Stefano Sollima,,,109,Action,Thriller,War,5.8
1384,"1,385",Haywire,Steven Soderbergh,,,93,Action,Drama,Thriller,5.8
1385,"1,386",Lake Placid,Steve Miner,,,82,Action,Comedy,Horror,5.8
1386,"1,387",The Mortal Instruments: City of Bones,Harald Zwart,,,130,Action,Adventure,Fantasy,5.8
1387,"1,388",Pride and Prejudice and Zombies,Burr Steers,,,108,Action,Comedy,Fantasy,5.8
1388,"1,389",Extinction,Ben Young,,,95,Action,Drama,Sci-Fi,5.8
1389,"1,390",Wild Hogs,Walt Becker,,,100,Action,Adventure,Comedy,5.8
1390,"1,391",Rambo III,Peter MacDonald,,,102,Action,Adventure,Thriller,5.8
1391,"1,392",Morgan,Luke Scott,,,92,Action,Horror,Sci-Fi,5.8
1392,"1,393",The Host,Andrew Niccol,,,125,Action,Adventure,Drama,5.8
1393,"1,394",Straw Dogs,Rod Lurie,,,110,Action,Drama,Thriller,5.8
1394,"1,395",1941,Steven Spielberg,,,118,Action,Comedy,War,5.8
1395,"1,396",Resident Evil: Afterlife,Paul W.S. Anderson,,,96,Action,Horror,Sci-Fi,5.8
1396,"1,397",Skyscraper,Rawson Marshall Thurber,,,102,Action,Adventure,Thriller,5.8
1397,"1,398",Into the Storm,Steven Quale,,,89,Action,Adventure,Drama,5.8
1398,"1,399",Around the World in 80 Days,Frank Coraci,,,120,Action,Adventure,Comedy,5.8
1399,"1,400",The Green Hornet,Michel Gondry,,,119,Action,Comedy,Crime,5.8
1400,"1,401",Hard to Kill,Bruce Malmuth,,,96,Action,Crime,Drama,5.8
1401,"1,402",The Gunman,Pierre Morel,,,115,Action,Adventure,Crime,5.8
1402,"1,403",Striking Distance,Rowdy Herrington,,,102,Action,Crime,Mystery,5.8
1403,"1,404",Cirque du Freak: The Vampire's Assistant,Paul Weitz,,,109,Action,Adventure,Fantasy,5.8
1404,"1,405",Reindeer Games,John Frankenheimer,,,104,Action,Adventure,Crime,5.8
1405,"1,406",Air America,Roger Spottiswoode,,,113,Action,Comedy,War,5.8
1406,"1,407",Sudden Death,Peter Hyams,,,111,Action,Crime,Thriller,5.8
1407,"1,408",Bulletproof,Ernest R. Dickerson,,,84,Action,Comedy,Crime,5.8
1408,"1,409",Cradle 2 the Grave,Andrzej Bartkowiak,,,101,Action,Crime,Drama,5.8
1409,"1,410",Firewall,Richard Loncraine,,,105,Action,Crime,Thriller,5.8
1410,"1,411",Taxi 3,Gérard Krawczyk,,,84,Action,Comedy,Crime,5.8
1411,"1,412",Samrat Prithviraj,Chandra Prakash Dwivedi,,,135,Action,Drama,History,5.8
1412,"1,413",Murder Mystery 2,Jeremy Garelick,,,90,Action,Comedy,Crime,5.7
1413,"1,414",The Matrix Resurrections,Lana Wachowski,,,148,Action,Sci-Fi,,5.7
1414,"1,415",Strange World,Don Hall,Qui Nguyen,,102,Animation,Action,Adventure,5.7
1415,"1,416",Memory,Martin Campbell,,,114,Action,Crime,Thriller,5.7
1416,"1,417",Chaos Walking,Doug Liman,,,109,Action,Adventure,Fantasy,5.7
1417,"1,418",The Three Musketeers,Paul W.S. Anderson,,,110,Action,Adventure,Fantasy,5.7
1418,"1,419",Escape Room: Tournament of Champions,Adam Robitel,,,88,Action,Adventure,Horror,5.7
1419,"1,420",Mechanic: Resurrection,Dennis Gansel,,,98,Action,Adventure,Crime,5.7
1420,"1,421",Planet of the Apes,Tim Burton,,,119,Action,Adventure,Sci-Fi,5.7
1421,"1,422",X-Men: Dark Phoenix,Simon Kinberg,,,113,Action,Adventure,Sci-Fi,5.7
1422,"1,423",G.I. Joe: The Rise of Cobra,Stephen Sommers,,,118,Action,Adventure,Sci-Fi,5.7
1423,"1,424",Fantastic Four,Tim Story,,,106,Action,Adventure,Fantasy,5.7
1424,"1,425",Bloodshot,Dave Wilson,,,109,Action,Adventure,Sci-Fi,5.7
1425,"1,426",G.I. Joe: Retaliation,Jon M. Chu,,,110,Action,Adventure,Sci-Fi,5.7
1426,"1,427",Samaritan,Julius Avery,,,102,Action,Drama,Fantasy,5.7
1427,"1,428",Freddy vs. Jason,Ronny Yu,,,97,Action,Horror,,5.7
1428,"1,429",Underworld: Blood Wars,Anna Foerster,,,91,Action,Adventure,Fantasy,5.7
1429,"1,430",Lara Croft: Tomb Raider,Simon West,,,100,Action,Adventure,Fantasy,5.7
1430,"1,431",Buffy the Vampire Slayer,Fran Rubel Kuzui,,,86,Action,Comedy,Fantasy,5.7
1431,"1,432",Journey 2: The Mysterious Island,Brad Peyton,,,94,Action,Adventure,Comedy,5.7
1432,"1,433",Crocodile Dundee II,John Cornell,,,108,Action,Adventure,Comedy,5.7
1433,"1,434",Allegiant,Robert Schwentke,,,120,Action,Adventure,Mystery,5.7
1434,"1,435",Pan,Joe Wright,,,111,Action,Adventure,Comedy,5.7
1435,"1,436",Hitman: Agent 47,Aleksander Bach,,,96,Action,Crime,Thriller,5.7
1436,"1,437",Only God Forgives,Nicolas Winding Refn,,,90,Action,Crime,Drama,5.7
1437,"1,438",Fool's Gold,Andy Tennant,,,112,Action,Adventure,Comedy,5.7
1438,"1,439",The Do-Over,Steven Brill,,,108,Action,Adventure,Comedy,5.7
1439,"1,440",Poseidon,Wolfgang Petersen,,,98,Action,Adventure,Thriller,5.7
1440,"1,441",Wrath of the Titans,Jonathan Liebesman,,,99,Action,Adventure,Fantasy,5.7
1441,"1,442",Cooties,Jonathan Milott,Cary Murnion,,88,Action,Comedy,Horror,5.7
1442,"1,443",Escape from L.A.,John Carpenter,,,101,Action,Adventure,Sci-Fi,5.7
1443,"1,444",The Darkest Minds,Jennifer Yuh Nelson,,,104,Action,Adventure,Drama,5.7
1444,"1,445",Gamer,Mark Neveldine,Brian Taylor,,95,Action,Sci-Fi,Thriller,5.7
1445,"1,446",Ben-Hur,Timur Bekmambetov,,,123,Action,Drama,Romance,5.7
1446,"1,447",Priest,Scott Stewart,,,87,Action,Fantasy,Horror,5.7
1447,"1,448",Gemini Man,Ang Lee,,,117,Action,Sci-Fi,Thriller,5.7
1448,"1,449",Cutthroat Island,Renny Harlin,,,124,Action,Adventure,Comedy,5.7
1449,"1,450",Battle Los Angeles,Jonathan Liebesman,,,116,Action,Adventure,Sci-Fi,5.7
1450,"1,451",The Marksman,Robert Lorenz,,,108,Action,Drama,Thriller,5.7
1451,"1,452",Race to Witch Mountain,Andy Fickman,,,98,Action,Adventure,Family,5.7
1452,"1,453",Sabotage,David Ayer,,,109,Action,Crime,Drama,5.7
1453,"1,454",Mighty Joe Young,Ron Underwood,,,114,Action,Adventure,Family,5.7
1454,"1,455",Beckett,Ferdinando Cito Filomarino,,,110,Action,Crime,Drama,5.7
1455,"1,456",Bullet to the Head,Walter Hill,,,92,Action,Crime,Thriller,5.7
1456,"1,457",Hudson Hawk,Michael Lehmann,,,100,Action,Adventure,Comedy,5.7
1457,"1,458",Drillbit Taylor,Steven Brill,,,110,Action,Comedy,Crime,5.7
1458,"1,459",Red Planet,Antony Hoffman,,,106,Action,Sci-Fi,Thriller,5.7
1459,"1,460",Close,Vicky Jewson,,,94,Action,Drama,Thriller,5.7
1460,"1,461",Nowhere to Run,Robert Harmon,,,94,Action,Drama,Romance,5.7
1461,"1,462",Money Train,Joseph Ruben,,,110,Action,Comedy,Crime,5.7
1462,"1,463",Bandidas,Joachim Rønning,Espen Sandberg,,93,Action,Comedy,Crime,5.7
1463,"1,464",The Art of War,Christian Duguay,,,117,Action,Adventure,Crime,5.7
1464,"1,465",Armored,Nimród Antal,,,88,Action,Crime,Thriller,5.7
1465,"1,466",The Mother,Niki Caro,,,115,Action,Thriller,,5.6
1466,"1,467",Jurassic World: Dominion,Colin Trevorrow,,,147,Action,Adventure,Sci-Fi,5.6
1467,"1,468",The Meg,Jon Turteltaub,,,113,Action,Horror,Sci-Fi,5.6
1468,"1,469",Transformers: Age of Extinction,Michael Bay,,,165,Action,Adventure,Sci-Fi,5.6
1469,"1,470",Pixels,Chris Columbus,,,105,Action,Comedy,Fantasy,5.6
1470,"1,471",Beast,Baltasar Kormákur,,,93,Action,Adventure,Drama,5.6
1471,"1,472",Last Seen Alive,Brian Goodman,,,95,Action,Mystery,Thriller,5.6
1472,"1,473",Charlie's Angels,McG,,,98,Action,Adventure,Comedy,5.6
1473,"1,474",Men in Black: International,F. Gary Gray,,,114,Action,Adventure,Comedy,5.6
1474,"1,475",Hulk,Ang Lee,,,138,Action,Sci-Fi,,5.6
1475,"1,476",Alexander,Oliver Stone,,,175,Action,Biography,Drama,5.6
1476,"1,477",Spy Kids,Robert Rodriguez,,,88,Action,Adventure,Comedy,5.6
1477,"1,478",Fantastic Four: Rise of the Silver Surfer,Tim Story,,,92,Action,Adventure,Fantasy,5.6
1478,"1,479",Judge Dredd,Danny Cannon,,,96,Action,Crime,Sci-Fi,5.6
1479,"1,480",The 355,Simon Kinberg,,,122,Action,Thriller,,5.6
1480,"1,481",You Don't Mess with the Zohan,Dennis Dugan,,,113,Action,Comedy,,5.6
1481,"1,482",The Dark Tower,Nikolaj Arcel,,,95,Action,Adventure,Fantasy,5.6
1482,"1,483",The Pacifier,Adam Shankman,,,95,Action,Comedy,Drama,5.6
1483,"1,484",Assassin's Creed,Justin Kurzel,,,115,Action,Adventure,Sci-Fi,5.6
1484,"1,485",Alien vs. Predator,Paul W.S. Anderson,,,101,Action,Adventure,Horror,5.6
