,MovieName,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,GrossCollection,Popularity,Certification
503,Death Proof,Kurt Russell,Zoë Bell,Rosario Dawson,301194,Action,Thriller,,,951,R
504,Star Trek Beyond,Chris Pine,Zachary Quinto,Karl Urban,251967,Action,Adventure,Sci-Fi,158.85M,"1,191",PG-13
505,Greyhound,Tom Hanks,Elisabeth Shue,Stephen Graham,103585,Action,Drama,History,,"1,213",PG-13
506,Rush Hour,Jackie Chan,Chris Tucker,Ken Leung,279614,Action,Comedy,Crime,141.15M,"1,250",PG-13
507,Oblivion,Tom Cruise,Morgan Freeman,Andrea Riseborough,537833,Action,Adventure,Sci-Fi,89.02M,"1,263",PG-13
508,Stargate,Kurt Russell,James Spader,Jaye Davidson,197304,Action,Adventure,Sci-Fi,71.57M,"1,274",PG-13
509,The Italian Job,Donald Sutherland,Mark Wahlberg,Edward Norton,377545,Action,Crime,Thriller,106.13M,"1,287",PG-13
510,Smokey and the Bandit,Burt Reynolds,Sally Field,Jerry Reed,54085,Action,Adventure,Comedy,126.74M,"1,337",PG
511,Spy,Melissa McCarthy,Rose Byrne,Jude Law,250544,Action,Comedy,,110.83M,"1,454",R
512,Highlander,Christopher Lambert,Sean Connery,Clancy Brown,140961,Action,Adventure,Fantasy,5.90M,"1,484",R
513,Sicario: Day of the Soldado,Benicio Del Toro,Josh Brolin,Isabela Merced,156567,Action,Crime,Drama,50.07M,"1,509",R
514,Pitch Black,Radha Mitchell,Cole Hauser,Vin Diesel,247173,Action,Horror,Sci-Fi,39.24M,"1,601",R
515,RED,Bruce Willis,Helen Mirren,Morgan Freeman,315808,Action,Comedy,Crime,90.38M,"1,856",PG-13
516,Logan Lucky,Channing Tatum,Adam Driver,Daniel Craig,155488,Action,Comedy,Crime,27.78M,"1,877",PG-13
517,Den of Thieves,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,117867,Action,Crime,Drama,44.95M,"2,013",R
518,Unleashed,Jet Li,Bob Hoskins,Morgan Freeman,105631,Action,Crime,Drama,24.52M,"2,128",R
519,22 Jump Street,Channing Tatum,Jonah Hill,Ice Cube,389561,Action,Comedy,Crime,191.72M,"2,161",R
520,Brotherhood of the Wolf,Samuel Le Bihan,Mark Dacascos,Jérémie Renier,68751,Action,Adventure,Drama,11.26M,"2,191",R
521,Public Enemies,Christian Bale,Johnny Depp,Christian Stolte,309980,Action,Biography,Crime,97.10M,"2,300",R
522,Bronson,Tom Hardy,Kelly Adams,Luing Andrews,135886,Action,Crime,Drama,0.10M,"2,329",R
523,The Foreigner,Katie Leung,Jackie Chan,Rufus Jones,118533,Action,Thriller,,34.39M,"2,471",R
524,Chip 'n Dale: Rescue Rangers,Andy Samberg,John Mulaney,KiKi Layne,43737,Animation,Action,Adventure,,"2,584",PG
525,Rambo,Sylvester Stallone,Julie Benz,Matthew Marsden,237834,Action,Adventure,Thriller,42.75M,"2,687",R
526,The Kingdom,Jamie Foxx,Chris Cooper,Jennifer Garner,128824,Action,Drama,Thriller,47.54M,"2,699",R
527,Chronicle,Dane DeHaan,Alex Russell,Michael B. Jordan,256877,Action,Drama,Sci-Fi,64.58M,"2,888",PG-13
528,Fallen,Denzel Washington,John Goodman,Donald Sutherland,87221,Action,Crime,Drama,25.19M,"2,904",R
529,Body of Lies,Leonardo DiCaprio,Russell Crowe,Mark Strong,233098,Action,Drama,Thriller,39.39M,"2,934",R
530,The Last Boy Scout,Bruce Willis,Damon Wayans,Chelsea Field,107531,Action,Comedy,Crime,59.51M,"2,948",R
531,Hellboy II: The Golden Army,Ron Perlman,Selma Blair,Doug Jones,278669,Action,Adventure,Fantasy,75.75M,"3,106",PG-13
532,Thunderbolt and Lightfoot,Clint Eastwood,Jeff Bridges,George Kennedy,26932,Action,Comedy,Crime,25.00M,"3,186",R
533,9,Elijah Wood,Jennifer Connelly,Crispin Glover,143294,Animation,Action,Adventure,31.74M,"3,195",PG-13
534,A Most Violent Year,Oscar Isaac,Jessica Chastain,David Oyelowo,74918,Action,Crime,Drama,5.74M,"3,243",R
535,Ip Man 4: The Finale,Donnie Yen,Scott Adkins,Danny Kwok-Kwan Chan,34554,Action,Biography,Drama,3.96M,"3,817",Not Rated
536,The Towering Inferno,Paul Newman,Steve McQueen,William Holden,46110,Action,Drama,Thriller,116.00M,"3,818",PG
537,The Spy Who Loved Me,Roger Moore,Barbara Bach,Curd Jürgens,112305,Action,Adventure,Thriller,46.80M,"3,995",PG
538,Filth,James McAvoy,Jamie Bell,Eddie Marsan,112397,Action,Comedy,Crime,0.03M,"4,190",R
539,Maverick,Mel Gibson,Jodie Foster,James Garner,115252,Action,Adventure,Comedy,101.63M,"4,529",PG
540,Spy Game,Robert Redford,Brad Pitt,Catherine McCormack,161160,Action,Crime,Thriller,0.03M,"4,788",R
541,Taxi,Samy Naceri,Frédéric Diefenthal,Marion Cotillard,86270,Action,Comedy,Crime,0.27M,"4,805",Not Rated
542,Ichi the Killer,Tadanobu Asano,Nao Ômori,Shin'ya Tsukamoto,58106,Action,Crime,Drama,0.02M,,R
543,The War of the Worlds,Gene Barry,Ann Robinson,Les Tremayne,37188,Action,Sci-Fi,Thriller,4.36M,,G
544,An Action Hero,Ayushmann Khurrana,Jaideep Ahlawat,Neeraj Madhav,29484,Action,Comedy,Crime,,,U
545,Juice,Omar Epps,Tupac Shakur,Jermaine Hopkins,28644,Action,Crime,Drama,20.15M,,R
546,Son of Rambow,Bill Milner,Will Poulter,Jessica Hynes,32529,Action,Adventure,Comedy,1.78M,,PG-13
547,Ip Man 3,Donnie Yen,Lynn Xiong,Jin Zhang,57923,Action,Biography,Drama,2.68M,,PG-13
548,Dragon: The Bruce Lee Story,Jason Scott Lee,Lauren Holly,Robert Wagner,31997,Action,Biography,Drama,35.11M,,PG-13
549,Curse of the Golden Flower,Chow Yun-Fat,Gong Li,Jay Chou,45121,Action,Drama,Romance,6.57M,,R
550,Sultan,Salman Khan,Anushka Sharma,Randeep Hooda,49009,Action,Drama,Romance,6.20M,,Not Rated
551,The Protector,Tony Jaa,Nathan Jones,Xing Jin,38175,Action,Crime,Drama,11.91M,,R
552,Kabir Singh,Shahid Kapoor,Kiara Advani,Nikita Dutta,35923,Action,Drama,Romance,,,Not Rated
553,Don 2,Shah Rukh Khan,Florian Lukas,Om Puri,55320,Action,Crime,Thriller,3.68M,,Not Rated
554,Main Hoon Na,Shah Rukh Khan,Sushmita Sen,Suniel Shetty,37791,Action,Comedy,Drama,1.72M,,Not Rated
555,The Warlords,Jet Li,Andy Lau,Takeshi Kaneshiro,27384,Action,Adventure,Drama,0.13M,,R
556,The Legend Is Born: Ip Man,Yu-Hang To,Yi Huang,Biao Yuen,32539,Action,Biography,Drama,,,Not Rated
557,Vikrant Rona,Sudeep,Nirup Bhandari,Neetha Ashok,27956,Action,Crime,Drama,,,Not Rated
558,Top Gun,Tom Cruise,Tim Robbins,Kelly McGillis,475281,Action,Drama,,179.80M,106,PG
559,The Woman King,Viola Davis,Thuso Mbedu,Lashana Lynch,62156,Action,Drama,History,67.33M,262,PG-13
560,The Magnificent Seven,Denzel Washington,Chris Pratt,Ethan Hawke,219584,Action,Adventure,Drama,93.43M,264,PG-13
561,The Last Kingdom: Seven Kings Must Die,Mark Rowley,Pekka Strang,Zoltan Andrasi,26969,Action,Drama,History,,296,TV-MA
562,Doctor Strange in the Multiverse of Madness,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,440106,Action,Adventure,Fantasy,411.33M,299,PG-13
563,Game Night,Jason Bateman,Rachel McAdams,Kyle Chandler,244973,Action,Adventure,Comedy,69.18M,409,R
564,Captain America: The First Avenger,Chris Evans,Hugo Weaving,Samuel L. Jackson,865684,Action,Adventure,Sci-Fi,176.65M,447,PG-13
565,Conan the Barbarian,Arnold Schwarzenegger,James Earl Jones,Max von Sydow,155725,Action,Adventure,Fantasy,39.57M,509,R
566,Jumanji: Welcome to the Jungle,Dwayne Johnson,Karen Gillan,Kevin Hart,397601,Action,Adventure,Comedy,404.52M,527,PG-13
567,Jurassic World,Chris Pratt,Bryce Dallas Howard,Ty Simpkins,657592,Action,Adventure,Sci-Fi,652.27M,578,PG-13
568,The Amazing Spider-Man,Andrew Garfield,Emma Stone,Rhys Ifans,673543,Action,Adventure,Sci-Fi,262.03M,580,PG-13
569,Star Wars: Episode VIII - The Last Jedi,Daisy Ridley,John Boyega,Mark Hamill,648497,Action,Adventure,Fantasy,620.18M,622,PG-13
570,Solo: A Star Wars Story,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,361396,Action,Adventure,Sci-Fi,213.77M,645,PG-13
571,Mission: Impossible III,Tom Cruise,Michelle Monaghan,Ving Rhames,367024,Action,Adventure,Thriller,134.03M,861,PG-13
572,The Mask,Jim Carrey,Cameron Diaz,Peter Riegert,399673,Action,Comedy,Crime,119.94M,890,PG-13
573,The Guardian,Kevin Costner,Ashton Kutcher,Sela Ward,95447,Action,Adventure,Drama,55.01M,971,PG-13
574,A Knight's Tale,Heath Ledger,Mark Addy,Rufus Sewell,193692,Action,Adventure,Romance,56.57M,"1,033",PG-13
575,Iron Man 2,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,837891,Action,Sci-Fi,,312.43M,"1,077",PG-13
