,MovieName,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,GrossCollection,Popularity,Certification
435,Everest,Jason Clarke,Ang Phula Sherpa,Thomas M. Wright,224298,Action,Adventure,Biography,43.48M,496,PG-13
436,Tropic Thunder,Ben Stiller,Jack Black,Robert Downey Jr.,429703,Action,Comedy,War,110.52M,505,R
437,Prey,Amber Midthunder,Dakota Beavers,Dane DiLiegro,207530,Action,Adventure,Drama,,608,R
438,Man of Steel,Henry Cavill,Amy Adams,Michael Shannon,786873,Action,Adventure,Sci-Fi,291.05M,793,PG-13
439,Iron Man 3,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,870281,Action,Adventure,Sci-Fi,409.01M,805,PG-13
440,Shooter,Mark Wahlberg,Michael Peña,Rhona Mitra,342863,Action,Drama,Thriller,47.00M,818,R
441,Pirates of the Caribbean: At World's End,Johnny Depp,Orlando Bloom,Keira Knightley,667641,Action,Adventure,Fantasy,309.42M,997,PG-13
442,Blade,Wesley Snipes,Stephen Dorff,Kris Kristofferson,284838,Action,Horror,Sci-Fi,70.09M,"1,063",R
443,Batman Returns,Michael Keaton,Danny DeVito,Michelle Pfeiffer,314108,Action,Crime,Fantasy,162.83M,"1,157",PG-13
444,Snowpiercer,Chris Evans,Jamie Bell,Tilda Swinton,372388,Action,Drama,Sci-Fi,4.56M,"1,195",R
445,DC League of Super-Pets,Dwayne Johnson,Kevin Hart,Kate McKinnon,69623,Animation,Action,Adventure,93.66M,"1,210",PG
446,American Made,Tom Cruise,Domhnall Gleeson,Sarah Wright,193759,Action,Comedy,Crime,51.34M,"1,222",R
447,"I, Robot",Will Smith,Bridget Moynahan,Bruce Greenwood,555277,Action,Mystery,Sci-Fi,144.80M,"1,294",PG-13
448,WarGames,Matthew Broderick,Ally Sheedy,John Wood,104561,Action,Drama,Sci-Fi,79.57M,"1,340",PG
449,We Were Soldiers,Mel Gibson,Madeleine Stowe,Greg Kinnear,146648,Action,Drama,History,78.12M,"1,465",R
450,Creed II,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,144834,Action,Drama,Sport,115.72M,"1,629",PG-13
451,Desperado,Antonio Banderas,Salma Hayek,Joaquim de Almeida,191339,Action,Crime,Thriller,25.63M,"1,686",R
452,Deepwater Horizon,Mark Wahlberg,Kurt Russell,Douglas M. Griffin,174413,Action,Drama,History,61.43M,"1,875",PG-13
453,Live Free or Die Hard,Bruce Willis,Justin Long,Timothy Olyphant,412638,Action,Thriller,,134.53M,"1,967",PG-13
454,Flags of Our Fathers,Ryan Phillippe,Barry Pepper,Joseph Cross,126258,Action,Adventure,Drama,33.60M,"2,032",R
455,The Poseidon Adventure,Gene Hackman,Ernest Borgnine,Shelley Winters,47279,Action,Adventure,Drama,84.56M,"2,172",PG
456,Escape from New York,Kurt Russell,Lee Van Cleef,Ernest Borgnine,149084,Action,Adventure,Sci-Fi,25.24M,"2,182",R
457,Real Steel,Hugh Jackman,Evangeline Lilly,Dakota Goyo,340951,Action,Drama,Sci-Fi,85.47M,"2,337",PG-13
458,Planet Terror,Rose McGowan,Freddy Rodríguez,Josh Brolin,216949,Action,Comedy,Horror,,"2,406",R
459,Kung Fu Panda 3,Jack Black,Bryan Cranston,Dustin Hoffman,170492,Animation,Action,Adventure,143.53M,"2,543",PG
460,Allied,Brad Pitt,Marion Cotillard,Jared Harris,162792,Action,Drama,Romance,40.10M,"2,552",R
461,No Way Out,Kevin Costner,Gene Hackman,Sean Young,42915,Action,Crime,Drama,35.51M,"2,618",R
462,Rocky Balboa,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,224767,Action,Drama,Sport,70.27M,"2,865",PG
463,Deja Vu,Denzel Washington,Paula Patton,Jim Caviezel,318008,Action,Crime,Sci-Fi,64.04M,"2,897",PG-13
464,Casualties of War,Michael J. Fox,Sean Penn,Don Harvey,46358,Action,Crime,Drama,18.67M,"3,252",R
465,Three Kings,George Clooney,Mark Wahlberg,Ice Cube,176042,Action,Adventure,Comedy,60.65M,"3,374",R
466,Die Hard 2,Bruce Willis,William Atherton,Bonnie Bedelia,370828,Action,Thriller,,117.54M,"3,531",R
467,Defiance,Daniel Craig,Liev Schreiber,Jamie Bell,152106,Action,Drama,History,28.64M,"3,893",R
468,Brawl in Cell Block 99,Vince Vaughn,Jennifer Carpenter,Don Johnson,70904,Action,Crime,Drama,,"4,001",Not Rated
469,Payback,Mel Gibson,Gregg Henry,Maria Bello,141557,Action,Crime,Drama,81.53M,"4,073",R
470,Enthiran,Rajinikanth,Aishwarya Rai Bachchan,Danny Denzongpa,28704,Action,Sci-Fi,Thriller,4.37M,"4,373",Not Rated
471,Ong-Bak: The Thai Warrior,Tony Jaa,Phetthai Vongkumlao,Pumwaree Yodkamol,76444,Action,Crime,Thriller,4.56M,,R
472,Megan Leavey,Kate Mara,Ramón Rodríguez,Tom Felton,25065,Action,Biography,Drama,13.41M,,PG-13
473,Kon-Tiki,Pål Sverre Hagen,Anders Baasmo,Gustaf Skarsgård,50519,Action,Adventure,Biography,1.52M,,PG-13
474,The Girl Who Played with Fire,Noomi Rapace,Michael Nyqvist,Lena Endre,96863,Action,Crime,Drama,9.08M,,R
475,Mosul,Waleed Elgadi,Suhail Dabbach,Adam Bessa,28525,Action,Drama,War,,,TV-MA
476,District B13,Cyril Raffaelli,David Belle,Tony D'Amario,72109,Action,Crime,Sci-Fi,1.20M,,R
477,God Bless America,Joel Murray,Tara Lynne Barr,Mackenzie Brooke Smith,71073,Action,Comedy,Crime,0.12M,,R
478,In Order of Disappearance,Stellan Skarsgård,Bruno Ganz,Pål Sverre Hagen,28132,Action,Comedy,Crime,0.05M,,R
479,JCVD,Jean-Claude Van Damme,Valérie Bodson,Hervé Sogne,39645,Action,Comedy,Crime,0.47M,,R
480,Kaabil,Hrithik Roshan,Yami Gautam,Ronit Roy,28039,Action,Crime,Drama,,,Not Rated
481,Dragon Ball Z: Battle of Gods,Masako Nozawa,Hiromi Tsuru,Ryô Horikawa,28957,Animation,Action,Adventure,2.55M,,TV-PG
482,Don,Shah Rukh Khan,Priyanka Chopra Jonas,Arjun Rampal,38953,Action,Crime,Thriller,0.80M,,Not Rated
483,Koi... Mil Gaya,Hrithik Roshan,Rekha,Preity G Zinta,25685,Action,Drama,Romance,0.68M,,Not Rated
484,Micmacs,Dany Boon,André Dussollier,Nicolas Marié,30812,Action,Comedy,Crime,1.26M,,R
485,Fanaa,Aamir Khan,Kajol,Rishi Kapoor,33927,Action,Drama,Romance,2.10M,,Not Rated
486,Marighella,Seu Jorge,Bruno Gagliasso,Luiz Carlos Vasconcelos,55593,Action,Drama,History,,,
487,Gabbar Is Back,Akshay Kumar,Shruti Haasan,Kareena Kapoor,25792,Action,Crime,Drama,,,Not Rated
488,Sisu,Jorma Tommila,Aksel Hennie,Jack Doolan,32908,Action,War,,,21,R
489,Shazam!,Zachary Levi,Mark Strong,Asher Angel,364591,Action,Adventure,Comedy,140.37M,85,PG-13
490,Transformers,Shia LaBeouf,Megan Fox,Josh Duhamel,652863,Action,Adventure,Sci-Fi,319.25M,168,PG-13
491,The Unbearable Weight of Massive Talent,Nicolas Cage,Pedro Pascal,Tiffany Haddish,124658,Action,Comedy,Crime,,227,R
492,Fast & Furious 6,Vin Diesel,Paul Walker,Dwayne Johnson,404791,Action,Adventure,Crime,238.68M,233,PG-13
493,The Northman,Alexander Skarsgård,Nicole Kidman,Claes Bang,228826,Action,Adventure,Drama,34.23M,259,R
494,Jack Reacher,Tom Cruise,Rosamund Pike,Richard Jenkins,350337,Action,Mystery,Thriller,80.07M,454,PG-13
495,Thor,Chris Hemsworth,Anthony Hopkins,Natalie Portman,869987,Action,Fantasy,,181.03M,464,PG-13
496,Underworld,Kate Beckinsale,Scott Speedman,Shane Brolly,277206,Action,Fantasy,Thriller,51.97M,540,R
497,Independence Day,Will Smith,Bill Pullman,Jeff Goldblum,587035,Action,Adventure,Sci-Fi,306.17M,554,PG-13
498,Ant-Man and the Wasp,Paul Rudd,Evangeline Lilly,Michael Peña,426008,Action,Adventure,Comedy,216.65M,660,PG-13
499,Constantine,Keanu Reeves,Rachel Weisz,Djimon Hounsou,358776,Action,Fantasy,Horror,75.98M,733,R
500,Super 8,Elle Fanning,AJ Michalka,Kyle Chandler,361099,Action,Mystery,Sci-Fi,127.00M,734,PG-13
501,Cloverfield,Mike Vogel,Jessica Lucas,Lizzy Caplan,409091,Action,Adventure,Horror,80.05M,830,PG-13
502,World War Z,Brad Pitt,Mireille Enos,Daniella Kertesz,688230,Action,Adventure,Horror,202.36M,850,PG-13
